Systematic Experiment Results - 2026-05-27 09:44:32.649143
================================================================================
[2026-05-27 09:52:46] RunID: 1, Mode: ST(all-MiniLM-L6-v2)+RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 94/2000, Time: 487.33s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9300, Precision: 0.9457, Recall: 0.9127, F1-Score: 0.9289, AUC-ROC: 0.9456
[2026-05-27 09:58:08] RunID: 2, Mode: ST(all-MiniLM-L6-v2)+RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 61/2000, Time: 314.83s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9375, Precision: 0.9333, Recall: 0.9426, F1-Score: 0.9380, AUC-ROC: 0.9494
[2026-05-27 10:04:22] RunID: 3, Mode: ST(all-MiniLM-L6-v2)+RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 74/2000, Time: 366.41s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9650, Precision: 0.9698, Recall: 0.9601, F1-Score: 0.9649, AUC-ROC: 0.9725
[2026-05-27 10:09:54] RunID: 4, Mode: ST(all-MiniLM-L6-v2)+RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 66/2000, Time: 324.56s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9375, Precision: 0.9291, Recall: 0.9476, F1-Score: 0.9383, AUC-ROC: 0.9698
[2026-05-27 10:17:14] RunID: 5, Mode: ST(all-MiniLM-L6-v2)+RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 87/2000, Time: 432.13s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9450, Precision: 0.9281, Recall: 0.9651, F1-Score: 0.9462, AUC-ROC: 0.9608
[2026-05-27 10:18:18] RunID: 1, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 559/2000, Time: 56.29s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8363, Precision: 0.8140, Recall: 0.8728, F1-Score: 0.8424, AUC-ROC: 0.9342
[2026-05-27 10:19:16] RunID: 2, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 440/2000, Time: 49.71s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8725, Precision: 0.8804, Recall: 0.8628, F1-Score: 0.8715, AUC-ROC: 0.9425
[2026-05-27 10:20:01] RunID: 3, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 299/2000, Time: 37.71s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8488, Precision: 0.8349, Recall: 0.8703, F1-Score: 0.8523, AUC-ROC: 0.9291
[2026-05-27 10:21:11] RunID: 4, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 588/2000, Time: 62.03s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8800, Precision: 0.8920, Recall: 0.8653, F1-Score: 0.8785, AUC-ROC: 0.9401
[2026-05-27 10:22:15] RunID: 5, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 256, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 557/2000, Time: 56.33s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8762, Precision: 0.8775, Recall: 0.8753, F1-Score: 0.8764, AUC-ROC: 0.9399
[2026-05-27 10:23:11] RunID: 1, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 1424/2000, Time: 48.25s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.6038, Precision: 0.6373, Recall: 0.4863, F1-Score: 0.5516, AUC-ROC: 0.6215
