Systematic Experiment Results - 2026-06-08 17:08:00.050626
================================================================================
[2026-06-08 17:08:08] RunID: 1, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 137/2000, Time: 1.62s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.5692, Precision: 0.6667, Recall: 0.2857, F1-Score: 0.4000, AUC-ROC: 0.6080
[2026-06-08 17:08:16] RunID: 2, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 137/2000, Time: 1.46s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.5179, Precision: 0.6220, Recall: 0.1041, F1-Score: 0.1783, AUC-ROC: 0.5875
[2026-06-08 17:08:24] RunID: 3, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 21/2000, Time: 0.58s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.4432
[2026-06-08 17:08:32] RunID: 4, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 21/2000, Time: 0.60s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.4228
[2026-06-08 17:08:43] RunID: 5, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 434/2000, Time: 3.93s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.5579, Precision: 0.6148, Recall: 0.3224, F1-Score: 0.4230, AUC-ROC: 0.6061
[2026-06-08 17:08:54] RunID: 1, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 38/2000, Time: 4.23s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.7157
[2026-06-08 17:09:05] RunID: 2, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 38/2000, Time: 4.02s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.6931
[2026-06-08 17:09:17] RunID: 3, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 38/2000, Time: 4.05s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.4717
[2026-06-08 17:09:29] RunID: 4, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 37/2000, Time: 4.15s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.5779
[2026-06-08 17:09:40] RunID: 5, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 37/2000, Time: 3.88s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.7801
[2026-06-08 17:11:17] RunID: 1, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 1131/2000, Time: 89.68s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.6031, Precision: 0.6373, Recall: 0.4878, F1-Score: 0.5526, AUC-ROC: 0.6235
[2026-06-08 17:11:28] RunID: 2, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 22/2000, Time: 3.33s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.6084
[2026-06-08 17:11:40] RunID: 3, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 22/2000, Time: 3.36s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.4182
[2026-06-08 17:11:51] RunID: 4, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 22/2000, Time: 3.45s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.975 Accuracy: 0.4974, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.6925
