Systematic Experiment Results - 2026-05-25 15:34:53.974485
================================================================================
[2026-05-25 15:35:23] RunID: 1, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 1514/2000, Time: 22.55s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6000, Precision: 0.6361, Recall: 0.4791, F1-Score: 0.5465, AUC-ROC: 0.5856
[2026-05-25 15:35:58] RunID: 2, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 1831/2000, Time: 26.87s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5611, Precision: 0.6276, Recall: 0.3138, F1-Score: 0.4184, AUC-ROC: 0.5878
[2026-05-25 15:36:07] RunID: 3, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 99/2000, Time: 1.79s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6074, Precision: 0.6549, Recall: 0.4644, F1-Score: 0.5435, AUC-ROC: 0.6179
[2026-05-25 15:36:34] RunID: 4, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 1237/2000, Time: 18.19s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6000, Precision: 0.6369, Recall: 0.4770, F1-Score: 0.5455, AUC-ROC: 0.6165
[2026-05-25 15:36:54] RunID: 5, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 801/2000, Time: 11.40s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6095, Precision: 0.6569, Recall: 0.4686, F1-Score: 0.5470, AUC-ROC: 0.6195
[2026-05-25 15:44:52] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 231/2000, Time: 469.48s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7158, Precision: 0.7500, Recall: 0.6527, F1-Score: 0.6980, AUC-ROC: 0.7868
[2026-05-25 15:53:21] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 287/2000, Time: 500.26s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.8084, Precision: 0.8149, Recall: 0.8013, F1-Score: 0.8080, AUC-ROC: 0.8909
[2026-05-25 16:00:52] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 227/2000, Time: 441.36s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7621, Precision: 0.8663, Recall: 0.6234, F1-Score: 0.7251, AUC-ROC: 0.8539
[2026-05-25 16:10:02] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 287/2000, Time: 541.60s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.8642, Precision: 0.8274, Recall: 0.9226, F1-Score: 0.8724, AUC-ROC: 0.9306
[2026-05-25 16:12:52] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 89/2000, Time: 160.68s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.8137, Precision: 0.8040, Recall: 0.8326, F1-Score: 0.8181, AUC-ROC: 0.9004
[2026-05-25 16:35:48] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 279/2000, Time: 1367.91s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.8189, Precision: 0.8214, Recall: 0.8180, F1-Score: 0.8197, AUC-ROC: 0.8848
