Systematic Experiment Results - 2026-05-26 14:57:16.440657
================================================================================
[2026-05-26 14:57:43] RunID: 1, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 578/2000, Time: 20.28s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.6038, Precision: 0.6373, Recall: 0.4863, F1-Score: 0.5516, AUC-ROC: 0.6135
[2026-05-26 14:57:54] RunID: 2, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 105/2000, Time: 3.73s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.5012, Precision: 0.5012, Recall: 1.0000, F1-Score: 0.6678, AUC-ROC: 0.6248
[2026-05-26 14:59:01] RunID: 3, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 1842/2000, Time: 60.57s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.5988, Precision: 0.6449, Recall: 0.4439, F1-Score: 0.5258, AUC-ROC: 0.6032
[2026-05-26 15:00:15] RunID: 4, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 2000/2000, Time: 66.70s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.5575, Precision: 0.6000, Recall: 0.3516, F1-Score: 0.4434, AUC-ROC: 0.6001
[2026-05-26 15:00:54] RunID: 5, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 935/2000, Time: 31.35s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.6038, Precision: 0.6364, Recall: 0.4888, F1-Score: 0.5529, AUC-ROC: 0.6118
[2026-05-26 15:26:24] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 228/2000, Time: 1523.21s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9463, Precision: 0.9566, Recall: 0.9352, F1-Score: 0.9458, AUC-ROC: 0.9850
[2026-05-26 15:39:08] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 139/2000, Time: 755.99s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9637, Precision: 0.9650, Recall: 0.9626, F1-Score: 0.9638, AUC-ROC: 0.9932
[2026-05-26 15:50:19] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 117/2000, Time: 663.39s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9688, Precision: 0.9772, Recall: 0.9601, F1-Score: 0.9686, AUC-ROC: 0.9969
[2026-05-26 18:13:33] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 1733/2000, Time: 8585.42s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9775, Precision: 0.9898, Recall: 0.9651, F1-Score: 0.9773, AUC-ROC: 0.9971
[2026-05-26 18:25:50] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 154/2000, Time: 729.57s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9487, Precision: 0.9545, Recall: 0.9426, F1-Score: 0.9486, AUC-ROC: 0.9840
[2026-05-26 18:58:52] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 138/2000, Time: 1974.84s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9437, Precision: 0.9759, Recall: 0.9102, F1-Score: 0.9419, AUC-ROC: 0.9781
[2026-05-26 19:32:34] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 150/2000, Time: 2013.97s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9550, Precision: 0.9398, Recall: 0.9726, F1-Score: 0.9559, AUC-ROC: 0.9874
[2026-05-26 19:58:49] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 117/2000, Time: 1567.96s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9625, Precision: 0.9869, Recall: 0.9377, F1-Score: 0.9616, AUC-ROC: 0.9937
[2026-05-26 20:39:18] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 173/2000, Time: 2420.68s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9275, Precision: 0.9364, Recall: 0.9177, F1-Score: 0.9270, AUC-ROC: 0.9817
[2026-05-26 21:11:11] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 113/2000, Time: 1905.47s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9537, Precision: 0.9619, Recall: 0.9451, F1-Score: 0.9535, AUC-ROC: 0.9845
[2026-05-26 21:33:32] RunID: 1, Mode: ST(all-MiniLM-L6-v2)+Metrics, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Structural_1000.csv, Epochs(Actual/Max): 241/2000, Time: 1333.45s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.9425, Precision: 0.9610, Recall: 0.9227, F1-Score: 0.9415, AUC-ROC: 0.9723
