Systematic Experiment Results - 2026-05-19 00:24:37.536933
================================================================================
[2026-05-19 00:24:49] RunID: 1, Mode: MetricsOnly, ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 489/2000, Time: 5.78s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7042, Precision: 0.6327, Recall: 1.0000, F1-Score: 0.7750, AUC-ROC: 0.8076
[2026-05-19 00:25:16] RunID: 2, Mode: MetricsOnly, ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 1858/2000, Time: 19.91s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7632, Precision: 0.6919, Recall: 0.9649, F1-Score: 0.8059, AUC-ROC: 0.8115
[2026-05-19 00:25:45] RunID: 3, Mode: MetricsOnly, ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 1906/2000, Time: 21.57s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7084, Precision: 0.7518, Recall: 0.6384, F1-Score: 0.6905, AUC-ROC: 0.8175
[2026-05-19 00:26:14] RunID: 4, Mode: MetricsOnly, ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 1695/2000, Time: 21.67s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7463, Precision: 0.6844, Recall: 0.9318, F1-Score: 0.7892, AUC-ROC: 0.7871
[2026-05-19 00:26:40] RunID: 5, Mode: MetricsOnly, ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 1637/2000, Time: 19.02s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7547, Precision: 0.7198, Recall: 0.8492, F1-Score: 0.7791, AUC-ROC: 0.8216
[2026-05-19 00:28:45] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 79/2000, Time: 117.12s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7000, Precision: 0.6819, Recall: 0.7707, F1-Score: 0.7236, AUC-ROC: 0.7645
[2026-05-19 00:49:26] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 1020/2000, Time: 1234.57s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7179, Precision: 0.7411, Recall: 0.6860, F1-Score: 0.7124, AUC-ROC: 0.7857
[2026-05-19 00:50:41] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 44/2000, Time: 67.17s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7400, Precision: 0.6972, Recall: 0.8657, F1-Score: 0.7724, AUC-ROC: 0.7918
[2026-05-19 00:52:29] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 70/2000, Time: 100.09s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6895, Precision: 0.6715, Recall: 0.7645, F1-Score: 0.7150, AUC-ROC: 0.7515
[2026-05-19 00:53:29] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 32/2000, Time: 52.88s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7137, Precision: 0.7573, Recall: 0.6446, F1-Score: 0.6964, AUC-ROC: 0.7751
[2026-05-19 01:04:15] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 64, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 172/2000, Time: 638.12s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7316, Precision: 0.7585, Recall: 0.6942, F1-Score: 0.7249, AUC-ROC: 0.8061
