Systematic Experiment Results - 2026-05-13 23:21:46.027465
================================================================================
[2026-05-14 00:14:18] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 119/2000, Time: 320.74s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6926, Precision: 0.6564, Recall: 0.8326, F1-Score: 0.7341, AUC-ROC: 0.7687
[2026-05-14 00:16:12] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 30/2000, Time: 101.05s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7200, Precision: 0.7477, Recall: 0.6798, F1-Score: 0.7121, AUC-ROC: 0.7757
[2026-05-14 00:25:02] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 82/2000, Time: 518.16s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7189, Precision: 0.6667, Recall: 0.8967, F1-Score: 0.7648, AUC-ROC: 0.7976
[2026-05-14 00:33:10] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 89/2000, Time: 476.66s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.8000, Precision: 0.7692, Recall: 0.8678, F1-Score: 0.8155, AUC-ROC: 0.8556
[2026-05-14 00:37:00] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 37/2000, Time: 218.73s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7189, Precision: 0.7541, Recall: 0.6653, F1-Score: 0.7069, AUC-ROC: 0.7832
[2026-05-14 00:42:10] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 57/2000, Time: 299.12s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7232, Precision: 0.6826, Recall: 0.8533, F1-Score: 0.7585, AUC-ROC: 0.7588
[2026-05-14 00:45:15] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 30/2000, Time: 174.09s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7011, Precision: 0.7174, Recall: 0.6818, F1-Score: 0.6992, AUC-ROC: 0.7868
[2026-05-14 00:45:29] RunID: 1, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 24/2000, Time: 3.80s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5095, Precision: 0.5095, Recall: 1.0000, F1-Score: 0.6750, AUC-ROC: 0.5528
[2026-05-14 00:45:44] RunID: 2, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 21/2000, Time: 3.36s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5095, Precision: 0.5095, Recall: 1.0000, F1-Score: 0.6750, AUC-ROC: 0.5857
[2026-05-14 00:45:58] RunID: 3, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 21/2000, Time: 3.37s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5095, Precision: 0.5095, Recall: 1.0000, F1-Score: 0.6750, AUC-ROC: 0.5564
